# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1622303784, 865128, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303789, 867760, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303794, 870383, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303799, 872991, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303805, 875698, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303810, 878290, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303815, 881006, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303820, 883748, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303825, 886449, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303830, 889164, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303835, 891835, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303840, 894664, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303845, 897534, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303850, 900174, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303856, 902889, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303861, 905551, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303866, 908248, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303871, 911056, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303876, 913832, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303881, 916483, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303886, 919241, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303891, 922031, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303897, 924680, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303902, 927288, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303907, 929917, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303912, 932585, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303917, 935260, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303922, 938118, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303927, 940818, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303932, 943496, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303937, 946186, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303942, 948785, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303947, 951417, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303952, 954137, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303958, 956886, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303963, 959565, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303968, 962260, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303973, 964963, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303978, 967669, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303983, 970337, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303988, 973074, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303993, 975922, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303998, 978619, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304003, 981282, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304008, 983941, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304014, 986750, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304019, 989439, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304024, 991904, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304029, 994630, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304034, 997482, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304039, 1000315, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304044, 1003028, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304049, 1005692, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304055, 1008444, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304060, 1011103, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304065, 1013937, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304070, 1016633, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304075, 1019441, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304080, 1022182, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304086, 1025039, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304091, 1027837, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304096, 1030527, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304101, 1033244, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304106, 1035928, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304111, 1038808, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304117, 1041699, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304122, 1044397, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304127, 1047063, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304132, 1049871, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622304137, 1052576, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
